Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
0,5.88418203051e-15,5942.5,-7313.75,0.0,-0.00214715701858,5413.28981279,-0.00214715701858,0.00951241588612,4.81939605499,-100.821956591,-774.166666667,1.57264862042,3,0.00951241588612
1,-1.14789320255,367.5,-5307.5,0.0161354368438,-0.00689608092974,2427.53304131,-0.0230315177735,0.00975435385414,4.90343532877,-439.795460562,-1957.5,1.58993604697,3,0.00843979326713
2,-0.269824538157,-1376.25,-8020.0,0.00869070537967,-0.00745906060731,2824.4852653,-0.016149765987,0.00951074900049,4.78476498207,-301.981677545,-4140.83333333,1.56543690814,3,0.00722286513739
3,-0.0421812620388,2367.5,-3120.0,0.015611105711,-7.46916941528e-05,2524.51177898,-0.0156857974051,0.00944720832974,4.83704311814,528.313993952,446.666666667,1.57630360803,3,0.00798500431542
4,-0.119122409941,-145.0,-8020.0,0.0,-0.00233005568664,3237.34314292,-0.00233005568664,0.021088227088,4.49264688509,-438.668711728,-4351.25,1.50244203477,3,0.021088227088
5,-0.0568799442402,-70.0,-8020.0,0.0,0.0124280293982,3747.66594029,0.0124280293982,0.0203186627892,4.17111864071,-749.938080629,-5370.0,1.428184259,3,0.0203186627892
6,-0.852740602027,6298.75,-8020.0,0.0,-0.00148681428704,6052.48098235,-0.00148681428704,0.014065325335,4.75847219017,683.324921814,248.75,1.55992664827,3,0.014065325335
7,-2.00979042843,-8020.0,-8020.0,0.0158955763279,-0.0217662456834,0.0,-0.0376618220113,0.00977212824259,3.88399154317,-910.247233625,-8020.0,1.35686337308,3,0.00887060453158
8,-0.357513242591,2798.75,-3770.0,0.0,-0.0142542199191,2722.54444663,-0.0142542199191,0.0104748280103,4.85777068916,-12.2105293935,-817.916666667,1.58057962674,3,0.0104748280103
9,-0.129566942578,4617.5,-7638.75,0.0,-0.034309945713,5120.0289238,-0.034309945713,0.0172594253383,4.47465420258,-47.0197620146,-2278.33333333,1.49842907557,3,0.0172594253383
10,-2.23112132169,-1288.75,-7351.25,0.0,0.00968978460329,2748.91234804,0.00968978460329,0.0144675557313,4.65567819633,-659.299275784,-3474.16666667,1.53808759213,3,0.0144675557313
11,0.0739087735736,8036.25,-8020.0,0.0,-0.017220598549,6697.48281384,-0.017220598549,0.0177935244042,4.27561914538,22.0862129184,-963.75,1.45292892123,3,0.0177935244042
12,-18.3894079523,-957.5,-3482.5,0.0,0.0158508954637,1133.50182571,0.0158508954637,0.0222824696344,4.57172053857,-177.114706931,-1886.66666667,1.51988961952,3,0.0222824696344
13,-0.0650957396295,-2413.75,-3926.25,0.0,0.00914444536619,620.28079439,0.00914444536619,0.0140412107231,4.53760797416,-67.5664541807,-3128.33333333,1.51239999526,3,0.0140412107231
14,0.0493193410048,9155.0,-8020.0,0.0,-0.0144018187215,7014.04345264,-0.0144018187215,0.0160369986431,4.67029107075,558.781177957,696.666666667,1.54122139752,3,0.0160369986431
15,0.474327839001,4086.25,-8020.0,0.0,0.0138893583621,4977.18492641,0.0138893583621,0.032159582985,4.24781538849,-167.264998701,-2382.5,1.44640482454,3,0.032159582985
16,-0.59675534673,9917.5,-2088.75,0.0,0.00359023515375,5309.22039292,0.00359023515375,0.0144441061308,4.7972449483,642.409609395,2471.66666667,1.56804178403,3,0.0144441061308
17,0.0346590781171,2761.25,-8020.0,0.0,-0.042349110714,4492.51789244,-0.042349110714,0.0318294104174,4.45739848284,-422.078999991,-1992.91666667,1.49456529604,3,0.0318294104174
18,-0.35246231229,-1926.25,-8020.0,0.0,0.00520036210602,2510.53163637,0.00520036210602,0.0203735066738,4.44358337301,-752.178133318,-4734.58333333,1.49146111693,3,0.0203735066738
19,-0.488320393721,5192.5,-6732.5,0.0123976835559,-0.00184116535282,5000.10156147,-0.0142388489087,0.00992215774219,4.82671829105,130.633704268,-1576.25,1.57416679389,3,0.00949056212814
20,-4.40992840396,1048.75,-6532.5,0.0,-0.031515296148,3103.882817,-0.031515296148,0.0148439357576,4.49395769285,-506.949654628,-2907.5,1.50273375958,3,0.0148439357576
21,-0.315212675567,3711.25,-5082.5,0.00371309697346,-0.00801919557271,3890.10162142,-0.0117322925462,0.00996078167311,4.72780736892,-407.180052949,-1745.0,1.55346153666,3,0.00986220892502
22,-0.144041111206,-5557.5,-8020.0,0.0,0.00351838515186,1125.8137489,0.00351838515186,0.0201520757616,4.16944937598,-716.777018522,-7147.08333333,1.42778398296,3,0.0201520757616
23,0.398313032683,-663.75,-8020.0,0.0,-0.000275114187201,3056.2620711,-0.000275114187201,0.0238454755251,4.3241221684,-362.030360331,-4742.91666667,1.46420915294,3,0.0238454755251
24,0.062460346507,7880.0,-6138.75,0.00637078733383,-0.0105162059926,5740.74058206,-0.0168869933264,0.00993031949724,4.68426608976,103.502974905,1188.33333333,1.54420925236,3,0.0094903321998
25,-3.79605997688,342.5,-3057.5,0.0,0.00323218844518,1567.24557123,0.00323218844518,0.0103409568908,4.77456846397,-99.1722452933,-1872.08333333,1.56330359581,3,0.0103409568908
26,0.0552865816946,7192.5,-8020.0,0.0,0.00150215270577,6672.42654824,0.00150215270577,0.0183603201416,4.68164960516,-41.6193742714,-2138.75,1.54365052756,3,0.0183603201416
27,-1.93077186613,3773.75,-5207.5,0.0,-0.00576971777474,3725.24118347,-0.00576971777474,0.0102431519489,4.78868380683,314.241522094,-1182.5,1.5662555943,3,0.0102431519489
28,-0.291981244956,2867.5,-4001.25,0.0,-0.0105346904767,3003.8184611,-0.0105346904767,0.0189236550185,4.45657315126,-395.345041229,-1328.33333333,1.49438011896,3,0.0189236550185
